Date,Value
1900-01-03,-0.02231028915309
1900-01-04,0.0081068908572287
1900-01-05,-0.0065524944154879
1900-01-06,-0.010343276870034
1900-01-08,0.005907300817934
1900-01-09,-0.021382321939467
1900-01-10,-0.013078935220803
1900-01-11,-0.01356407857811
1900-01-12,0.026236763078868
1900-01-13,-0.0020021561681813
1900-01-15,-0.0089506172839506
1900-01-16,0.0010900031142947
1900-01-17,0.0041997200186654
1900-01-18,-0.0043370508054523
1900-01-19,0.015712507778469
1900-01-20,-0.0070454893551847
1900-01-22,0.0083294770939381
1900-01-23,-0.015144561725562
1900-01-24,0.0052811432121777
1900-01-25,0.0050988875154511
1900-01-26,-0.01260568793236
1900-01-27,0.00062276194924478
1900-01-29,0.0028006846117941
1900-01-30,0.024980605120248
1900-01-31,0.0010596427490159
1900-02-01,0.018297293210343003
1900-02-02,0.0077220077220077
1900-02-03,0.00029472443265541
1900-02-05,0.0070713022981733
1900-02-06,-0.0048273844353423
1900-02-07,-0.0013229457592239
1900-02-08,-0.0070650574035915
1900-02-09,-0.008894159501927
1900-02-10,-0.0029913251570446
1900-02-13,0.010951095109510998
1900-02-14,-0.0072711084730671
1900-02-15,0.0026905829596411
1900-02-16,-0.010137149672033
1900-02-17,-0.0088855421686747
1900-02-19,0.0066859139948336
1900-02-20,-0.0013584905660378
1900-02-21,-0.0086154776299878
1900-02-23,-0.016313462418052
1900-02-24,-0.0061996280223185
1900-02-26,-0.0087336244541485
1900-02-27,-0.0033039647577093
1900-02-28,0.009629044988160999
1900-03-01,-0.0057848655409631
1900-03-02,-0.025790218587827998
1900-03-03,0.013075060532688
1900-03-05,-0.010197578075207
1900-03-06,-0.0040244687701223
1900-03-07,-0.0006465168902537401
1900-03-08,-0.0071162865922691
1900-03-09,-0.0045610034207526
1900-03-10,0.009327442317133
1900-03-12,0.026426718547341
1900-03-13,-0.0067919759911546
1900-03-14,-0.013517811704835
1900-03-15,-0.0035466709656618
1900-03-16,0.00161786118751
1900-03-17,0.0095299628492974
1900-03-19,0.0065599999999999
1900-03-20,0.0085836909871246
1900-03-21,0.0099290780141843
1900-03-22,-0.0003121098626716
1900-03-23,-0.0060880424601936
1900-03-24,0.0092665305481389
1900-03-26,-0.0031123560535326
1900-03-27,0.010146737433656
1900-03-28,0.0063359604388813
1900-03-29,-0.016124078624079
1900-03-30,0.020602466052755
1900-03-31,0.0096345006881786
1900-04-02,-0.0071190548318691
1900-04-03,-0.0057971014492753
1900-04-04,-0.0009206690194875301
1900-04-05,0.0055291045922285
1900-04-06,0.010386436535818
1900-04-07,0.0
1900-04-09,-0.010430839002268
1900-04-10,-0.013901619309502
1900-04-11,0.0035631293570876
1900-04-12,-0.0058660080271688
1900-04-16,-0.044254658385092994
1900-04-17,0.0040617384240455
1900-04-18,0.00032362459546931
1900-04-19,0.0090585571012618
1900-04-20,-0.0028855402372555
1900-04-21,-0.027813504823151
1900-04-23,0.011906730610219999
1900-04-24,0.0081712698153293
1900-04-25,0.0032420165342844
1900-04-26,0.018742931006625
1900-04-27,-0.01268834258525
1900-04-28,-0.0073895582329317
1900-04-30,-0.0074445703188218
1900-05-01,-0.00016305233980104
1900-05-02,-0.0044031311154599
1900-05-03,-0.00049140049140039
1900-05-04,0.0026220911176663
1900-05-05,0.0029421379535796
1900-05-07,-0.012059973924380999
1900-05-08,-0.022434839986802995
1900-05-09,0.011474856564293002
1900-05-10,0.0026693360026694
1900-05-11,-0.024625623960067
1900-05-12,-0.0085295121119072
1900-05-14,-0.0098072952512044
1900-05-15,-0.016159860990443
1900-05-16,0.0088308018368068
1900-05-17,-0.0063025210084034
1900-05-18,0.017618040873854997
1900-05-19,0.0072714681440444
1900-05-21,-0.013406668958405
1900-05-22,0.012195121951219998
1900-05-23,0.004302925989673001
1900-05-24,-0.014395886889459999
1900-05-25,-0.0043470700747696
1900-05-26,0.0050646175340552
1900-05-28,0.0020851433536056
1900-05-29,0.0058956129703485
1900-05-31,0.018789863816583
1900-06-01,0.0047377326565144
1900-06-02,-0.0097675985180196
1900-06-04,-0.014115646258503001
1900-06-05,-0.0084526479213387
1900-06-06,-0.0086986778009743
1900-06-07,0.01017901017901
1900-06-08,-0.016330785267547
1900-06-09,-0.0037089367714589
1900-06-11,-0.0067363942563374
1900-06-12,0.0021417097983223
1900-06-13,0.017275155832591
1900-06-14,-0.010679271708683002
1900-06-15,-0.0060166342240311
1900-06-16,-0.013352323304254999
1900-06-18,-0.008300252616384
1900-06-19,0.0021834061135371
1900-06-20,-0.012527233115468
1900-06-21,0.0047802904945762
1900-06-22,-0.0098810612991766
1900-06-23,-0.0079467750877841
1900-06-25,0.0
1900-06-26,0.0059612518628912
1900-06-27,0.002037037037037
1900-06-28,0.01182775827019
1900-06-29,0.0014611872146118
1900-06-30,0.0018238190771476
1900-07-02,0.010012743491717
1900-07-03,0.0034246575342467
1900-07-05,0.015088916831327
1900-07-06,-0.0067244735445053
1900-07-07,-0.001781578478532
1900-07-09,-0.0048188470462253
1900-07-10,0.020624103299856998
1900-07-11,-0.0024600246002459
1900-07-12,-0.0010568962480184
1900-07-13,-0.012872509257626999
1900-07-14,-0.0017863522686673
1900-07-16,0.0060844667143879
1900-07-17,0.0094272500889363
1900-07-18,-0.0024669603524229
1900-07-19,0.011658717541071001
1900-07-20,0.018858040859088
1900-07-21,0.0010282776349614
1900-07-23,0.010443417223078
1900-07-24,-0.011352084039308999
1900-07-25,-0.0029134532990574
1900-07-26,-0.004297009281540001
1900-07-27,0.0017262213015709
1900-07-28,-0.0056867137687403
