Date,Close,S&P 500 Return
2015-08-07,2077.570068,-0.0028748828
2015-08-06,2083.560059,-0.0077529851
2015-08-05,2099.840088,0.003114679
2015-08-04,2093.320068,-0.0022497049
2015-08-03,2098.040039,-0.0027568868
2015-07-31,2103.840088,-0.00227152
2015-07-30,2108.629883,2.8367565729992E-005
2015-07-29,2108.570068,0.0073187952
2015-07-28,2093.25,0.0123861544
2015-07-27,2067.639893,-0.0057750148
2015-07-24,2079.649902,-0.010703328
2015-07-23,2102.149902,-0.0056760403
2015-07-22,2114.149902,-0.0023877101
2015-07-21,2119.209961,-0.0042616892
2015-07-20,2128.280029,0.0007712335
2015-07-17,2126.639893,0.0011061832
2015-07-16,2124.290039,0.0080146805
2015-07-15,2107.399902,-0.0007349861
2015-07-14,2108.949951,0.004453159
2015-07-13,2099.600098,0.0110660495
2015-07-10,2076.620117,0.0123384848
2015-07-09,2051.310059,0.0022622026
2015-07-08,2046.680054,-0.016652749
2015-07-07,2081.340088,0.006080975
2015-07-06,2068.76001,-0.0038617566
2015-07-02,2076.780029,-0.0003080229
2015-07-01,2077.419922,0.0069360404
2015-06-30,2063.110107,0.0026584895
2015-06-29,2057.639893,-0.0208661936
2015-06-26,2101.48999,-0.0003900799
2015-06-25,2102.310059,-0.002973574
2015-06-24,2108.580078,-0.0073532969
2015-06-23,2124.199951,0.0006358683
2015-06-22,2122.850098,0.0060948668
2015-06-19,2109.98999,-0.0053035018
2015-06-18,2121.23999,0.0099027107
2015-06-17,2100.439941,0.0019796411
2015-06-16,2096.290039,0.0056898564
2015-06-15,2084.429932,-0.0046225721
2015-06-12,2094.110107,-0.0069942999
2015-06-11,2108.860107,0.0017386263
2015-06-10,2105.199951,0.0120424249
2015-06-09,2080.149902,0.000418353
2015-06-08,2079.280029,-0.0064745099
2015-06-05,2092.830078,-0.001436183
2015-06-04,2095.840088,-0.0086231674
2015-06-03,2114.070068,0.0021188708
2015-06-02,2109.600098,-0.0010085958
2015-06-01,2111.72998,0.0020594609
2015-05-29,2107.389893,-0.0063184689
2015-05-28,2120.790039,-0.0012667607
2015-05-27,2123.47998,0.0091626411
2015-05-26,2104.199951,-0.0102819805
2015-05-22,2126.060059,-0.0022338859
2015-05-21,2130.820068,0.0023378742
2015-05-20,2125.850098,-0.000930516
2015-05-19,2127.830078,-0.0006433745
2015-05-18,2129.199951,0.0030479482
2015-05-15,2122.72998,0.0007684135
2015-05-14,2121.100098,0.010779287
2015-05-13,2098.47998,-0.0003049549
2015-05-12,2099.120117,-0.0029496377
2015-05-11,2105.330078,-0.0050895607
2015-05-08,2116.100098,0.0134579013
2015-05-07,2088,0.0037738136
2015-05-06,2080.149902,-0.004455725
2015-05-05,2089.459961,-0.0118373835
2015-05-04,2114.48999,0.0029407486
2015-05-01,2108.290039,0.0109230015
2015-04-30,2085.51001,-0.0101289067
2015-04-29,2106.850098,-0.0037403355
2015-04-28,2114.76001,0.0027692317
2015-04-27,2108.919922,-0.004141314
2015-04-24,2117.689941,0.0022528002
2015-04-23,2112.929932,0.002357716
2015-04-22,2107.959961,0.0050874804
2015-04-21,2097.290039,-0.0014806052
2015-04-20,2100.399902,0.0092351313
2015-04-17,2081.179932,-0.0113112452
2015-04-16,2104.98999,-0.0007784438
2015-04-15,2106.629883,0.0051481957
2015-04-14,2095.840088,0.0016297588
2015-04-13,2092.429932,-0.0045812806
2015-04-10,2102.060059,0.0052028651
2015-04-09,2091.179932,0.0044574814
2015-04-08,2081.899902,0.002682533
2015-04-07,2076.330078,-0.002061904
2015-04-06,2080.620117,0.006608815
2015-04-02,2066.959961,0.0035296672
2015-04-01,2059.689941,-0.0039653717
2015-03-31,2067.889893,-0.0087957747
2015-03-30,2086.23999,0.0122366448
2015-03-27,2061.02002,0.0023685617
2015-03-26,2056.149902,-0.0023775002
2015-03-25,2061.050049,-0.0145589056
2015-03-24,2091.5,-0.006139422
2015-03-23,2104.419922,-0.0017457311
2015-03-20,2108.100098,0.0090127546
2015-03-19,2089.27002,-0.0048725792
2015-03-18,2099.5,0.0121584215
2015-03-17,2074.280029,-0.0033201736
2015-03-16,2081.189941,0.0135336711
2015-03-13,2053.399902,-0.0060747111
2015-03-12,2065.949951,0.0126014396
2015-03-11,2040.23999,-0.0019176796
2015-03-10,2044.160034,-0.0169613303
2015-03-09,2079.429932,0.0039444213
2015-03-06,2071.26001,-0.0141739464
2015-03-05,2101.040039,0.0011960801
2015-03-04,2098.530029,-0.0043885035
2015-03-03,2107.780029,-0.0045385425
2015-03-02,2117.389893,0.0061249195
2015-02-27,2104.5,-0.0029563044
2015-02-26,2110.73999,-0.0014760281
2015-02-25,2113.860107,-0.0007657236
2015-02-24,2115.47998,0.0027587707
2015-02-23,2109.659912,-0.0003033393
2015-02-20,2110.300049,0.0061265338
2015-02-19,2097.449951,-0.0010620576
2015-02-18,2099.679932,-0.0003143091
2015-02-17,2100.340088,0.0015975746
2015-02-13,2096.98999,0.0040747386
2015-02-12,2088.47998,0.0096445064
2015-02-11,2068.530029,-2.90337850636924E-005
2015-02-10,2068.590088,0.0106755612
2015-02-09,2046.73999,-0.0042471946
2015-02-06,2055.469971,-0.0034181724
2015-02-05,2062.52002,0.0102914068
2015-02-04,2041.51001,-0.004156046
2015-02-03,2050.030029,0.0144394949
2015-02-02,2020.849976,0.012962464
2015-01-30,1994.98999,-0.0129919654
2015-01-29,2021.25,0.0095346854
2015-01-28,2002.160034,-0.0134956095
2015-01-27,2029.550049,-0.0133878624
2015-01-26,2057.090088,0.0025684611
2015-01-23,2051.820068,-0.0054915224
2015-01-22,2063.149902,0.0152697218
2015-01-21,2032.119995,0.0047316238
2015-01-20,2022.550049,0.0015499524
2015-01-16,2019.420044,0.0134241994
2015-01-15,1992.670044,-0.0092478761
2015-01-14,2011.27002,-0.0058130669
2015-01-13,2023.030029,-0.0025785555
2015-01-12,2028.26001,-0.0080936852
2015-01-09,2044.810059,-0.008403811
2015-01-08,2062.139893,0.017888281
2015-01-07,2025.900024,0.0116298426
2015-01-06,2002.609985,-0.0088934719
2015-01-05,2020.579956,-0.0182781051
2015-01-02,2058.199951,-0.0003399636
2014-12-31,2058.899902,-0.0103108587
2014-12-30,2080.350098,-0.0048886044
2014-12-29,2090.570068,0.0008617741
2014-12-26,2088.77002,0.0033095747
2014-12-24,2081.879883,-0.0001392965
2014-12-23,2082.169922,0.0017463618
2014-12-22,2078.540039,0.003810464
2014-12-19,2070.649902,0.004570049
2014-12-18,2061.22998,0.0240152043
2014-12-17,2012.890015,0.020352416
2014-12-16,1972.73999,-0.0084890231
2014-12-15,1989.630005,-0.0063425865
2014-12-12,2002.329956,-0.0162135873
2014-12-11,2035.329956,0.004535689
2014-12-10,2026.140015,-0.0163509685
2014-12-09,2059.820068,-0.0002378239
2014-12-08,2060.310059,-0.0072565649
2014-12-05,2075.370117,0.0016652164
2014-12-04,2071.919922,-0.0011618961
2014-12-03,2074.330078,0.0037647426
2014-12-02,2066.550049,0.0063844614
2014-12-01,2053.439941,-0.0068293629
2014-11-28,2067.560059,-0.0025424269
2014-11-26,2072.830078,0.002805982
2014-11-25,2067.030029,-0.0011500298
2014-11-24,2069.409912,0.0028640233
2014-11-21,2063.5,0.0052368774
2014-11-20,2052.75,0.0019670961
2014-11-19,2048.719971,-0.0015011589
2014-11-18,2051.800049,0.0051339835
2014-11-17,2041.319946,0.000735359
2014-11-14,2039.819946,0.0002402701
2014-11-13,2039.329956,0.0005298447
2014-11-12,2038.25,-0.0007011168
2014-11-11,2039.680054,0.0006966942
2014-11-10,2038.26001,0.0031201848
2014-11-07,2031.920044,0.0003495862
2014-11-06,2031.209961,0.0037755132
2014-11-05,2023.569946,0.0057004971
2014-11-04,2012.099976,-0.0028298417
