Date,Index
1993-09-14,-0.018496420047733
1993-09-21,0.0012158054711246
1993-09-28,0.011232544019428999
1993-10-05,0.020714500150104998
1993-10-12,0.096176470588235
1993-10-19,0.11295948484035
1993-10-26,0.088958534233365
1993-11-02,0.16028337392074
1993-11-04,0.16638046174394
1993-11-09,0.082120071977752
1993-11-11,0.001965230536659
1993-11-16,0.003922751961376
1993-11-18,-0.040276525398257004
1993-11-23,-0.029909176323207002
1993-11-25,-0.017594834543987
1993-11-30,0.013966480446927
1993-12-02,0.04310484524388299
1993-12-07,0.0073015379835326
1993-12-09,0.014342998149291
1993-12-14,0.031929451117531
1993-12-16,0.039045233534699
1994-01-06,0.072745320476461
1994-01-11,0.07111698612029099
1994-01-13,0.057386153276564
1994-01-18,0.07177871148459401
1994-01-20,0.06675378416639499
1994-01-25,0.05859534503879099
1994-01-27,0.070106075216972
1994-02-01,0.023519870235198997
1994-02-03,-0.018048952280331
1994-02-08,-0.016766789204698
1994-02-10,-0.005836221046871999
1994-02-15,0.033204916529077005
1994-02-17,0.026722301136363997
1994-02-22,0.014180717682663
1994-02-24,0.036576008184841004
1994-03-01,0.023770356966606003
1994-03-03,-0.026271390696552998
1994-03-08,-0.044389438943894
1994-03-10,0.031428078052150005
1994-03-14,-0.0064456721915284
1994-03-15,-0.023169601482854
1994-03-17,-0.021562877350354
1994-03-21,-0.01410437235543
1994-03-22,-0.072871959942775
1994-03-24,-0.0073295399749254
1994-03-28,0.022733896823084
1994-03-29,-0.026978246413982998
1994-03-31,-0.0036122229815483
1994-04-05,-0.020184205369391004
1994-04-07,0.0024
1994-04-11,-0.0033918595371109
1994-04-12,-0.0076076076076076
1994-04-14,-0.016542263465806003
1994-04-18,-0.032717948717949
1994-04-19,-0.025766090552434
1994-04-21,-0.022964736612972998
1994-04-25,-0.0053469978834801
1994-04-26,-0.032366446410572
1994-04-28,-0.0053240740740741
1994-05-02,-0.0041889690481732
1994-05-03,-0.0068941341434914
1994-05-05,-0.0087069066949053
1994-05-09,0.00023738872403566
1994-05-10,-0.015545271152249
1994-05-12,-0.014946962391514001
1994-05-16,-0.00061184532550171
1994-05-17,-0.019835925064283003
1994-05-19,-0.018488444722049
1994-05-23,-0.0025455008272878
1994-05-24,-0.017225979328825
1994-05-26,-0.017268242015061
1994-05-30,-0.027348394768133
1994-05-31,-0.039527302363488
1994-06-02,-0.055579126007637
1994-06-06,-0.037436358191075
1994-06-07,-0.005911636589919
1994-06-09,-0.00062597809076679
1994-06-13,0.030065768869401998
1994-06-14,0.023563393128611
1994-06-16,0.022575375018565
1994-06-20,0.04328249818445899
1994-06-21,0.040651538354448
1994-06-23,0.0045484949832776
1994-06-27,-0.0082567585563989
1994-06-28,-0.034376258896199996
1994-06-30,-0.054512585175914
1994-07-07,0.018973378438006002
1994-07-11,0.027424942263279
1994-07-12,-0.010536667603259
1994-07-14,0.0032656538406929995
1994-07-18,0.00042456835550517
1994-07-19,-0.0045268071863063
1994-07-21,-0.0018473781440956
1994-07-25,-0.0071184510250569
1994-07-26,0.0034413535990823
1994-07-28,0.020720205773078
1994-08-01,0.00055998880022412
1994-08-02,-0.00083951308241223
1994-08-04,0.0016804369135974
1994-08-08,0.0064308681672026
1994-08-09,0.0076399499930546
1994-08-11,-0.00082712985938796
1994-08-15,0.0031732891832231
1994-08-16,0.00027506532801531
1994-08-18,0.0010999587515469
1994-08-22,0.0038456256008789
1994-08-23,-0.012176768367766
1994-08-25,-0.00027700831024937
1994-08-29,-0.0065114990302022
1994-08-30,0.0022312090363966
1994-09-01,0.0032002226241825
1994-09-05,0.0058252427184467
1994-09-06,-0.0020683949255378
1994-09-08,0.0075998341854360005
1994-09-12,0.0027427317608338
1994-09-13,0.0012308533916849
1994-09-15,-0.010107908755634
1994-09-19,0.0041396439906168
1994-09-20,-0.0023361275250791
1994-09-21,-0.0046831955922865
1994-09-22,-0.0078881815665652
1994-09-23,-0.0085088575812526
1994-09-26,-0.0025323579065841
1994-09-27,-0.01015514809591
1994-09-28,0.0025648332858365
1994-09-29,-0.0015633882888005
1994-09-30,-0.011672597864769
1994-10-03,0.0015843295405445
1994-10-04,-0.0069025021570319
1994-10-05,-0.0072400810889082
1994-10-06,-0.0067094515752626
1994-10-07,-0.0008810572687225
1994-10-10,-0.0039682539682539
1994-10-11,-0.014313117898774999
1994-10-12,-0.00089820359281441
1994-10-13,-0.0079412646089301
1994-10-14,-0.0013593112822836
1994-10-17,0.0040834845735026
1994-10-18,-0.0046693779183612
1994-10-19,0.00060532687651345
1994-10-20,-0.0037810042347247
1994-10-21,-0.005465310459997
1994-10-24,-0.00061059380247287
1994-10-25,-0.0067206354055294
1994-10-26,-0.013378440719668
1994-10-27,-0.013403990024937999
1994-10-31,-0.0083728278041074
1994-11-01,-0.0022303648239606
1994-11-02,-0.0079833945393581
1994-11-03,-0.014163849991951999
1994-11-04,-0.016
1994-11-07,-0.0091256014600962
1994-11-08,-0.016242464835901003
1994-11-09,-0.025702127659574997
1994-11-10,-0.014325646401118
1994-11-11,-0.017901453385324
1994-11-14,-0.0063165493593214
1994-11-15,0.004722121322194
1994-11-16,0.001988430947216
1994-11-17,0.021648926574057002
1994-11-18,0.039201836482429996
1994-11-21,0.030756159728122
1994-11-22,0.0059347181008902
1994-11-23,-0.027695837430351002
1994-11-24,-0.031350075846957995
1994-11-25,-0.01566034452758
1994-11-28,-0.014672087678982001
1994-11-29,0.00053821313240055
1994-11-30,-0.0001793078716156
1994-12-01,0.022238163558106004
1994-12-02,0.0015789473684210001
