Date,USD,GBP,EUR
1990-01-03,-0.010025062656642,-0.0072563645208368,
1990-01-04,0.0037974683544304,-0.004246804687819,
1990-01-05,0.021437578814628003,0.01455812999795,
1990-01-08,-0.0009876543209876,-0.0091350040420373,
1990-01-09,-0.0028423133959467,-0.0055478502080443,
1990-01-10,0.014004213657206997,0.0097218803839528,
1990-01-11,0.0073331703739917,0.0097095267113548,
1990-01-12,0.010070371269109,0.0037820873903597,
1990-01-15,-0.0015615615615615,-0.00048100048100039005,
1990-01-16,-0.0068575553416747,4.0102662816775e-05,
1990-01-17,-0.0056935190793459,-0.0043710149576934,
1990-01-18,0.0073099415204678,0.010955372966006,
1990-01-19,-0.011490082244799,-0.0090836653386454,
1990-01-22,-0.0064847669154533,-0.0053875844322934,
1990-01-23,0.0055418719211823,0.0040827876141967,
1990-01-24,0.030618493570116,0.020612746084786,
1990-01-25,-0.012121212121212,-0.009624866869156999,
1990-01-26,0.0056537952604355,0.0014338630660772,
1990-01-29,0.0017942583732057,-0.0070397327287914,
1990-01-30,-0.0014328358208956,-0.0064888248017304,
1990-01-31,-0.0074136075570967,-0.0048782454442831,
1990-02-01,0.0018070112034695,-0.0009723291334117,
1990-02-02,0.0051707551707551,0.0082728415588629,
1990-02-05,0.012082785022132001,0.0059928407674054,
1990-02-06,-0.0046099290780142,-0.0086758355989126,
1990-02-07,0.0064125400783755,0.005001008267795999,
1990-02-08,-0.013569321533923,-0.0068622336369839,
1990-02-09,-0.0059808612440191,-0.0061015031517698,
1990-02-12,0.0080625752105897,0.004146847176485,
1990-02-13,-0.0019099916437866,0.0037653346289323,
1990-02-14,-0.0082526013634732,-0.013835108099386999,
1990-02-15,0.0049445248432223,0.0052762894187901,
1990-02-16,-0.00036001440057597004,0.0012612905850761,
1990-02-19,0.0,-0.007761388110040999,
1990-02-20,0.0082833133253301,0.0086002129576542,
1990-02-21,0.00011906179307063,-0.0049131070326458,
1990-02-22,-0.0055952380952381,-0.0040804668054025,
1990-02-23,-0.0043098288040224,-0.0022534518785594,
1990-02-26,-0.010941445232656,-0.0062007227332458,
1990-02-27,-0.0091174325309993,-0.0023552745754307,
1990-02-28,0.00036805299963188997,0.0011597084161697,
1990-03-01,-0.0034338974736325,0.0083154062551712,
1990-03-02,-0.0030765444253015,0.001723218315349,
1990-03-05,-0.0045673373657574,0.0027442146221585,
1990-03-06,0.0053323412698414,0.0034719385671105,
1990-03-07,-0.011964968545701001,-0.0080595921357919,
1990-03-08,0.00049937578027463,0.00086175058475936,
1990-03-09,-0.0034938857000249,0.0093480934809348,
1990-03-12,0.0048835462058602,0.010805101957916998,
1990-03-13,-0.0099688473520249,-0.0044205111718373,
1990-03-14,0.0037759597230963,0.0014531363526277,
1990-03-15,0.0018808777429467,0.00044336960902867004,
1990-03-16,0.0028785982478097,-0.0060432698118529,
1990-03-19,0.0036191189317359997,0.0070933484658101,
1990-03-20,-0.0060930116886348,-0.0066006600660067,
1990-03-21,-0.019141749030402,-0.0039299894660076,
1990-03-22,0.0,-0.0031319910514541,
1990-03-23,0.0038265306122449,0.0011424840868288,
1990-03-26,-0.059085133418042994,-0.065903162699707,
1990-03-27,-0.0060769750168805,-0.0093372311182861,
1990-03-28,0.010869565217390999,0.0066505175071569994,
1990-03-29,-0.0013440860215054,-0.0046377318865943,
1990-03-30,-0.0080753701211306,-0.013934065934066002,
1990-04-02,-0.00027137042062421,0.0093612089332679,
1990-04-03,0.017915309446253996,0.014044075431701001,
1990-04-04,-0.002,-0.0080571403684509,
1990-04-05,0.011088844355377,0.011195995785037,
1990-04-06,-0.0018498942917547,0.0012157526811689,
1990-04-09,-0.0026476039184538,-0.0040764994145453,
1990-04-10,-0.0039819485001327,-0.00013063357282822,
1990-04-11,-0.001865671641791,-0.0076212873443080005,
1990-04-12,0.0026702269692924,0.002589195593979,
1990-04-17,-0.0039946737683089,0.0043333625142256,
1990-04-18,0.0020053475935829,-0.0012638919154500002,
1990-04-19,0.0026684456304203,-0.0034037353813929,
1990-04-20,0.00066533599467731,0.0025396269375603,
1990-04-23,-0.0019946808510638,0.0019217330538085,
1990-04-24,0.004130579613591,0.0057105492589364,
1990-04-25,-0.014198513800424998,-0.017077716613931003,
1990-04-26,0.00040382285637376,0.0024253649071746,
1990-04-27,0.0,0.00026394509941933,
1990-04-30,-0.010360602798707999,-0.012006333010818998,
1990-05-01,0.0047586675730795,0.0045849098597819,
1990-05-02,0.00027063599458734,-0.0021712158808933,
1990-05-03,0.00081168831168819,8.8813890492518e-05,
1990-05-04,0.0037848067045148,-0.0062164202300076,
1990-05-08,-0.0017506059789928,-0.0082212591037041,
1990-05-09,-0.00094428706326714,-0.0058115961616434,
1990-05-10,0.0039157439913583,0.0069331158238173,
1990-05-11,-0.0086079354404842,-0.013635749966248,
1990-05-14,0.0012210012210012,0.00082124281412541,
1990-05-15,-0.0033875338753388,-0.0051969365426697,
1990-05-16,0.0057104010876955,0.0094400146641005,
1990-05-17,-0.0017574692442883,-0.010305066279281001,
1990-05-18,0.001895991332611,0.0030732535204808,
1990-05-21,0.0086509867531767,0.0079568319004938,
1990-05-22,0.0053604931653712,0.006759822157699,
1990-05-23,-0.028259130898427003,-0.032806092560047,
1990-05-24,0.0054869684499314,0.0090388109770302,
1990-05-25,0.0,0.001062012282403,
1990-05-29,0.0032742155525238,0.0016143911439114,
1990-05-30,-0.0035354908893120004,-0.0092102233479162,
1990-05-31,-0.0091430131004366,0.004833836858006,
1990-06-01,0.0011017766147913,-0.0043480271982978,
